kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
20,4,4,1,128,128,1,[20; 4; 4; 1; 128; 128; 1],0.014567087637260556,0.3138189791441566,tvm
16,16,750,1,64,64,1,[16; 16; 750; 1; 64; 64; 1],0.015768576122354716,0.289907505659168,tvm
40,5,4,1,256,128,1,[40; 5; 4; 1; 256; 128; 1],0.027381624502595514,0.16695242354942252,tvm
10,2,60,1,128,128,1,[10; 2; 60; 1; 128; 128; 1],0.016797195363324136,0.2721542776962674,tvm
8,2,50,1,64,64,1,[8; 2; 50; 1; 64; 64; 1],0.014169603877235204,0.3226221855625054,tvm
20,5,12,1,256,64,1,[20; 5; 12; 1; 256; 64; 1],0.03212674902169965,0.14229353142270484,tvm
16,8,1,1,256,64,1,[16; 8; 1; 1; 256; 64; 1],0.03170519950799644,0.1441854535649776,tvm
10,5,1,1,256,128,1,[10; 5; 1; 1; 256; 128; 1],0.040193264227127656,0.11373618588418045,tvm
32,1,4,1,64,64,1,[32; 1; 4; 1; 64; 64; 1],0.054209581518080086,0.08432879287038768,tvm
16,8,375,1,64,64,1,[16; 8; 375; 1; 64; 64; 1],0.013023922496358864,0.3510024397570409,tvm
10,10,4,1,256,128,1,[10; 10; 4; 1; 256; 128; 1],0.018456390243954957,0.2476881183700511,tvm
8,8,75,1,64,64,1,[8; 8; 75; 1; 64; 64; 1],0.01453321187000256,0.3145504663607279,tvm
10,5,1,1,256,64,1,[10; 5; 1; 1; 256; 64; 1],0.03288681272533722,0.13900491390296918,tvm
40,40,20,1,256,64,1,[40; 40; 20; 1; 256; 64; 1],0.06434683850966394,0.07104356138246032,tvm
32,32,10,1,64,64,1,[32; 32; 10; 1; 64; 64; 1],0.03701197152258828,0.1235121606164277,tvm
40,40,6,1,256,128,1,[40; 40; 6; 1; 256; 128; 1],0.03977952999412082,0.11491911976094744,tvm
40,40,20,1,256,128,1,[40; 40; 20; 1; 256; 128; 1],0.026723282993771136,0.17106538042104014,tvm
32,1,30,1,128,128,1,[32; 1; 30; 1; 128; 128; 1],0.01537483737047296,0.297331832609033,tvm
640,10,500,1,64,64,1,[640; 10; 500; 1; 64; 64; 1],0.018486412751371972,0.24728586518708462,tvm
